bloc,hassaniya_ar,hassaniya_norm,pulaar,english,sentiment,nuance
tweets,اينيتي وحل فلباسي,اينيتي وحل فلباسي,Gaɗi ina nanngi e comci am,Burrs have stuck to my clothes.,negatif,non
tweets,الكلام منين نگال، يالتو يعدل,الكلام منين نگال، يالتو يعدل,so houndé halama foti ko wadédé,"When something is said, act quickly.",neutre,non
tweets,السّراگ مشا  ما علم بيه حد او  رفد الفضة.,السراگ مشا ما علم بيه حد او رفد الفضه.,guoudio ari kéné moyti té o woudji khaliss,The thief has gone secretly and stolen money.,negatif,non
tweets,الراجل يطرّف كيف السّراق.,الراجل يطرف كيف السراق.,omo madja guitté élé goudjo,The man is blinking like a thief.,negatif,non
tweets,هي عدلت مارو للعشا.,هي عدلت مارو للعشا.,o defi ko maro hirandé,She is cooking rice for dinner.,positif,non
tweets,كنا لا مجوقين يغير يبان انفگع.,كنا لا مجوقين يغير يبان انفگع.,mén pidjano o séki,We were joking and he responded with anger.,negatif,non
tweets,النار گدات ار لسعت الطفيل.,النار گدات ار لسعت الطفيل.,thioumonguo ko ko ari té soumi thioukolél guel,The fire has sparked and burnt the child.,negatif,non
tweets,المرا كانت واخضة او  الطفيل اتبعها.,المرا كانت واخضه او الطفيل اتبعها.,youmérado ko ko djipotono é lawol nguol thioukolél nguél éné rewno é mokko,The mother was going down the road and the child pursued her.,neutre,non
tweets,رفدوا على الظهر,رفدوا علي الظهر,womboumo é kéthi,carry it on the back.,neutre,non
tweets,بايگة لصقت فلباسي,بايگه لصقت فلباسي,howéndéré dakkima é robam,A bug has stuck to my dress.,negatif,non
tweets,ذا لي گلت زين او مونك.,ذا لي گلت زين او مونك.,mé walitima é ko kaldako,I have supported your suggestion.,positif,non
tweets,طرح كرسيين او جيبهم معاك.,طرح كرسيين او جيبهم معاك.,ndéndiné chaizoudji diidi té ngadon ndoum,Put two chairs together and bring them.,neutre,non
tweets,هو گبظ شي من الگبال او عطاه لي.,هو گبظ شي من الگبال او عطاه لي.,o habbiti won é poddé maka é lékkimoum o rokimi,He removed some corn from the cob and gave it to me.,positif,non
tweets,أحمد يگدي الدايگات مع ارواگيج.,احمد يگدي الدايگات مع ارواگيج.,ahmed héwi waddé ko yo yimbé kabb,Ahmed usually urges people to fight.,negatif,non
tweets,ذي الصيدة غرات فيا بعد ما جبرتها.,ذي الصيده غرات فيا بعد ما جبرتها.,o do souka débbo ko kéddido dakkadé é mbandam guilé né kawroumé é moko,This girl stuck to me after we met.,neutre,non
tweets,ارگاج يالتو ما يعود عويليل,ارگاج يالتو ما يعود عويليل,bondé néydi modjani,Wild behaviour is not good.,negatif,non
